Id,UserId,Name,Date,Class,TagBased1,5,Student,2010-07-28T19:09:00.243,3,False
2,3,Supporter,2010-07-28T19:09:00.510,3,False
3,4,Supporter,2010-07-28T19:09:00.527,3,False
4,2,Autobiographer,2010-07-28T19:09:00.633,3,False
5,3,Autobiographer,2010-07-28T19:09:00.633,3,False
6,4,Autobiographer,2010-07-28T19:09:00.667,3,False
7,9,Autobiographer,2010-07-28T19:14:00.110,3,False
8,10,Autobiographer,2010-07-28T19:14:00.140,3,False
9,13,Autobiographer,2010-07-28T19:14:00.140,3,False
10,14,Autobiographer,2010-07-28T19:14:00.140,3,False
11,16,Autobiographer,2010-07-28T19:14:00.140,3,False
12,17,Autobiographer,2010-07-28T19:14:00.157,3,False
13,4,Teacher,2010-07-28T19:19:00.067,3,False
14,2,Supporter,2010-07-28T19:19:00.223,3,False
15,5,Supporter,2010-07-28T19:19:00.253,3,False
16,10,Supporter,2010-07-28T19:19:00.270,3,False
17,20,Supporter,2010-07-28T19:19:00.300,3,False
18,35,Supporter,2010-07-28T19:19:00.317,3,False
19,39,Supporter,2010-07-28T19:19:00.333,3,False
20,42,Supporter,2010-07-28T19:19:00.347,3,False
21,20,Autobiographer,2010-07-28T19:19:00.410,3,False
22,25,Autobiographer,2010-07-28T19:19:00.440,3,False
23,27,Autobiographer,2010-07-28T19:19:00.457,3,False
24,28,Autobiographer,2010-07-28T19:19:00.457,3,False
25,30,Autobiographer,2010-07-28T19:19:00.473,3,False
26,34,Autobiographer,2010-07-28T19:19:00.487,3,False
27,37,Autobiographer,2010-07-28T19:19:00.487,3,False
28,38,Autobiographer,2010-07-28T19:19:00.487,3,False
29,39,Autobiographer,2010-07-28T19:19:00.503,3,False
31,41,Autobiographer,2010-07-28T19:19:00.503,3,False
32,43,Autobiographer,2010-07-28T19:19:00.503,3,False
33,44,Autobiographer,2010-07-28T19:19:00.503,3,False
34,45,Autobiographer,2010-07-28T19:19:00.520,3,False
35,35,Student,2010-07-28T19:24:00.273,3,False
36,12,Supporter,2010-07-28T19:24:00.460,3,False
37,45,Supporter,2010-07-28T19:24:00.507,3,False
38,52,Supporter,2010-07-28T19:24:00.523,3,False
39,53,Supporter,2010-07-28T19:24:00.523,3,False
40,52,Critic,2010-07-28T19:24:00.553,3,False
41,49,Autobiographer,2010-07-28T19:24:00.570,3,False
42,50,Autobiographer,2010-07-28T19:24:00.570,3,False
43,52,Autobiographer,2010-07-28T19:24:00.587,3,False
44,53,Autobiographer,2010-07-28T19:24:00.587,3,False
45,58,Autobiographer,2010-07-28T19:24:00.587,3,False
46,59,Autobiographer,2010-07-28T19:24:00.600,3,False
47,27,Student,2010-07-28T19:29:00.137,3,False
48,46,Supporter,2010-07-28T19:29:00.370,3,False
49,26,Autobiographer,2010-07-28T19:29:00.417,3,False
50,42,Autobiographer,2010-07-28T19:29:00.510,3,False
51,60,Autobiographer,2010-07-28T19:29:00.590,3,False
52,61,Autobiographer,2010-07-28T19:29:00.683,3,False
53,63,Autobiographer,2010-07-28T19:29:00.760,3,False
54,65,Autobiographer,2010-07-28T19:29:00.887,3,False
55,67,Autobiographer,2010-07-28T19:29:00.993,3,False
56,68,Autobiographer,2010-07-28T19:29:00.993,3,False
57,70,Autobiographer,2010-07-28T19:29:01.040,3,False
58,72,Autobiographer,2010-07-28T19:29:01.057,3,False
59,5,Teacher,2010-07-28T19:39:00.767,3,False
60,9,Teacher,2010-07-28T19:39:00.877,3,False
61,10,Teacher,2010-07-28T19:39:00.907,3,False
62,35,Teacher,2010-07-28T19:39:00.970,3,False
63,39,Teacher,2010-07-28T19:39:00.987,3,False
64,77,Teacher,2010-07-28T19:39:01.033,3,False
65,10,Student,2010-07-28T19:39:01.110,3,False
66,20,Student,2010-07-28T19:39:01.173,3,False
67,24,Student,2010-07-28T19:39:01.237,3,False
68,39,Student,2010-07-28T19:39:01.283,3,False
